index,title,skills,company,city,state,type,salary,salary_type,sal_min,sal_max,sal_median,posted_date,origin
612,Senior Data Architect with Snowflake,Snowflake,KPI Partners,,,Remote,$50.79 - $65.47 an hour,hourly,50.79,65.47,58.13,,simplyhired.com
613,Data Warehouse Architect,,Xforia,New York,NY,Onsite,$80 an hour,hourly,80,,,,simplyhired.com
614,AWS Cloud Architect,AWS Cloud,NTT Data,Rockville,MD,Onsite,,yearly,,,,,simplyhired.com
615,Cisco Network Engineer,Cisco,"InfoStructures, Inc.",Washington,DC,Onsite,$66200 - $83900,yearly,66200,83900,75050,,simplyhired.com
616,Engineer 2 - Front End Developer (Angular),Angular,Comcast,Philadelphia,PA,Onsite,,yearly,,,,,simplyhired.com
617,Big Data Architect-Onsite,Big data,Digital Dhara LLC,Philadelphia,PA,Onsite,$60.21 - $80.13 an hour,hourly,60.21,80.13,70.17,,simplyhired.com
618,Amazon Solution Architect,,Quant Solutions,,,Remote,$140000 - $190000,yearly,140000,190000,165000,,simplyhired.com
619,Enterprise Architect,,DSM Infocom,,,Remote,$80 - $100 an hour,hourly,80,100,90,,simplyhired.com
620,Data Architect,,Offshore HCL Global Systems India Private Limited,Orlando,FL,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
621,Data Warehouse Developer,,Samjose Infotech,,,Remote,$94200 - $11900,yearly,94200,11900,53050,,simplyhired.com
622,Business Systems Analyst,,Hertz,Estero,FL,Onsite,,yearly,,,,,simplyhired.com
623,Java Streaming Developer,Java,The Judge Group,Chicago,IL,Onsite,,yearly,,,,,simplyhired.com
624,Analytics Engineer,,Complete Health,Jacksonville,FL,Remote,$93500 - $11800,yearly,93500,11800,52650,,simplyhired.com
625,Systems Engineer,,Kendall Vegetation Services,Lawrenceville,GA,Onsite,$90000 - $110000,yearly,90000,110000,100000,,simplyhired.com
626,Senior Security Architect,,Comcast,Plano,TX,Onsite,,yearly,,,,,simplyhired.com
627,AI Engineer,AI,Sticker Mule,,,Remote,From $135 a day,daily,135,,,,simplyhired.com
628,Decision Scientist,,Johns Hopkins Applied Physics Laboratory (APL),Laurel,MD,Onsite,,yearly,,,,,simplyhired.com
629,Senior Data Scientist,,"Nuvative, Inc.",Wichita,KS,Onsite,$86800 - $11000,yearly,86800,11000,48900,,simplyhired.com
630,Data Scientist,,"Nuvative, Inc.",Wichita,KS,Onsite,$68300 - $86500,yearly,68300,86500,77400,,simplyhired.com
631,Data Scientist,"R, Python, Linux, Biobank, NHS data, EHR-phenotyping",Tellus Solutions,,,Remote,,yearly,,,,,simplyhired.com
632,Data Scientist,,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
633,Data Scientist,,Ivy Rehab Physical Therapy,,,Remote,$113000 - $143000,yearly,113000,143000,128000,,simplyhired.com
634,Data Scientist,,Tellus Solutions,,,Remote,,yearly,,,,,simplyhired.com
635,Data Scientist,,QuantAQ,,,Remote,$109000 - $147000,yearly,109000,147000,128000,,simplyhired.com
636,Quality Improvement Specialist,,Vista Autism Services,Hershey,PA,Onsite,$53600 - $67900,yearly,53600,67900,60750,,simplyhired.com
